 BLEU    NIST       TER        METEROR   |  BLEU    NIST       TER        METEROR   | NAME
0.7912 11.7962 0.0871274157 0.5761611655 | 0.8076 13.2782 0.0801753701 0.5826770012 | in-no-backward-l2r-MERT
0.7911 11.8055 0.0879462823 0.5763982120 | 0.8035 13.2475 0.0802187785 0.5809114257 | no-lex-n-gram-bidir-MIRA
0.7910 11.8015 0.0877825090 0.5763191376 | 0.8037 13.2328 0.0837782697 0.5810428152 | all-no-backward-r2l-MIRA
0.7906 11.8010 0.0887651490 0.5763982120 | 0.7979 13.2135 0.0823892000 0.5786597612 | no-lex-n-gram-no-backward-bidir-MERT
0.7905 11.8001 0.0882738290 0.5760822678 | 0.8020 13.2442 0.0806962712 0.5804528554 | all-n-gram-no-backward-l2r-MERT
0.7904 11.7866 0.0879462823 0.5760822678 | 0.7996 13.2190 0.0823457916 0.5793043439 | in-n-gram-no-backward-l2r-Alt
0.7904 11.7866 0.0879462823 0.5760822678 | 0.7994 13.2178 0.0824326084 0.5792181711 | in-n-gram-no-backward-l2r-MERT
0.7902 11.8018 0.0894202424 0.5759246482 | 0.8018 13.2385 0.0815644398 0.5800613847 | all-n-gram-bidir-MERT
0.7900 11.7823 0.0913855224 0.5756101102 | 0.7977 13.2085 0.0839519035 0.5782962414 | in-n-gram-no-backward-l2r-MIRA
0.7896 11.7986 0.0882738290 0.5752965020 | 0.8036 13.2545 0.0816512567 0.5803657356 | in-all-l2r-MIRA
0.7896 11.7958 0.0879462823 0.5761611655 | 0.8045 13.2344 0.0824326084 0.5813500332 | no-lex-all-r2l-MIRA
0.7893 11.8000 0.0887651490 0.5756886573 | 0.8012 13.2379 0.0815644398 0.5799312182 | all-n-gram-l2r-MIRA
0.7888 11.7950 0.0886013757 0.5752182445 | 0.8019 13.2403 0.0807396796 0.5801917127 | no-lex-n-gram-l2r-MIRA
0.7881 11.7947 0.0918768425 0.5755316212 | 0.8036 13.2343 0.0831271433 0.5810209055 | no-lex-no-backward-r2l-MERT
0.7876 11.7912 0.0902391091 0.5747499062 | 0.8002 13.2329 0.0819985241 0.5792397077 | all-n-gram-l2r-MERT
0.7874 11.7919 0.0882738290 0.5748278194 | 0.8000 13.2216 0.0810869471 0.5792827941 | no-lex-n-gram-bidir-MERT
0.7874 11.7891 0.0904028824 0.5752965020 | 0.8056 13.2449 0.0830403264 0.5818567149 | no-lex-all-r2l-MERT
0.7873 11.7914 0.0922043891 0.5746720501 | 0.8001 13.2240 0.0821721578 0.5795200854 | no-lex-n-gram-bidir-Alt
0.7872 11.7870 0.0908942024 0.5748278194 | 0.8040 13.2349 0.0838650866 0.5813500332 | no-lex-no-backward-r2l-Alt
0.7868 11.7892 0.0915492958 0.5744388232 | 0.7987 13.2185 0.0819985241 0.5788527219 | no-lex-n-gram-l2r-Alt
0.7868 11.7852 0.0895840157 0.5749838173 | 0.7990 13.2169 0.0817380735 0.5790245399 | in-n-gram-bidir-MIRA
0.7862 11.7784 0.0890926957 0.5745942509 | 0.8010 13.2297 0.0806094544 0.5798228693 | no-lex-n-gram-no-backward-bidir-Alt
0.7861 11.7830 0.0900753357 0.5748278194 | 0.8056 13.2458 0.0826496506 0.5818788003 | no-lex-all-r2l-Alt
0.7859 11.7860 0.0900753357 0.5745942509 | 0.7985 13.2069 0.0840821287 0.5792181711 | in-all-r2l-Alt
0.7859 11.7854 0.0882738290 0.5749057897 | 0.8043 13.2575 0.0796544689 0.5813280592 | in-no-bigram-pos-bidir-MIRA
0.7858 11.7806 0.0908942024 0.5743611943 | 0.7978 13.2092 0.0822589747 0.5784457742 | in-n-gram-l2r-MIRA
0.7857 11.7832 0.0887651490 0.5749057897 | 0.8038 13.2566 0.0796544689 0.5812402090 | all-n-gram-no-backward-bidir-Alt
0.7856 11.7840 0.0912217491 0.5744388232 | 0.7971 13.2099 0.0829969180 0.5781682390 | no-lex-n-gram-no-backward-l2r-MERT
0.7855 11.7816 0.0913855224 0.5744388232 | 0.8018 13.2211 0.0839519035 0.5804092865 | all-no-backward-r2l-MERT
0.7855 11.7806 0.0899115624 0.5742061064 | 0.8022 13.2455 0.0806962712 0.5803439670 | in-no-bigram-pos-l2r-MIRA
0.7854 11.7734 0.0890926957 0.5742836221 | 0.8008 13.2285 0.0812171724 0.5797362705 | in-n-gram-bidir-MERT
0.7852 11.7731 0.0895840157 0.5744388232 | 0.7985 13.2127 0.0821287494 0.5791105542 | in-n-gram-no-pos-bidir-MERT
0.7851 11.7913 0.0915492958 0.5745165087 | 0.8041 13.2431 0.0830403264 0.5813939952 | all-all-r2l-MIRA
